quartile,n,mean,sd,se,ci_lower,ci_upper,min,max,p_trend,trend_slope
1,12,171.5056029539638,83.11604223993028,23.99353468060003,124.47827497998775,218.53293092793984,63.50873494961096,332.91006886261687,0.1324511787545735,20.306404023793608
2,12,247.45824872694365,122.01875453682152,35.22378038900839,178.4196391644872,316.4968582894001,57.84250579988369,444.1111763499126,0.1324511787545735,20.306404023793608
3,11,250.59274507093048,127.49350440609265,38.44073793841203,175.24889871164288,325.9365914302181,73.46253612003905,451.4395347460859,0.1324511787545735,20.306404023793608
4,12,238.52943771132962,63.82163527135095,18.423719152018293,202.41894817337376,274.6399272492855,105.32295432557667,316.98346342961986,0.1324511787545735,20.306404023793608
