prefecture,periodontal_rate,dm_complication_rate,hba1c_high_rate,aging_rate,pop_density,income_per_capita,smoking_rate,bmi_obesity_rate
北海道,107316.55965397636,281.7241618232466,7.638026753516168,31.938455166257256,62.62736470231164,3175.568253251267,3.949938201134081,33.85648844944041
青森県,79755.23108537753,84.16910073151188,8.564432914565542,34.02887274795151,128.34648608075773,2834.549318639021,3.864392834436591,34.014182171131075
岩手県,109218.74148103234,146.13385497639885,7.44838998891396,33.3632925634472,79.2493098204191,2882.6438593108664,5.92887332661326,33.41065033628044
宮城県,114374.0910062398,109.73085965396989,9.106195306738666,28.02385408141456,316.11184501429506,3250.167066165693,4.297360276983468,32.689447438228015
秋田県,105935.16219872392,57.84250579988369,7.520149116589221,36.44546858682941,82.44900975465563,2821.660014789229,4.394080443774772,32.85121251876889
山形県,113115.39876800869,330.5159888279978,8.169512315324885,33.56516267847161,114.55645355915117,2894.4654443375507,3.117716225900492,31.291390458352165
福島県,94718.55034388856,127.75809098208988,8.523679069637966,31.829711884230004,132.99225908487438,3052.5833300571016,4.008879289656828,33.40771899335795
茨城県,111426.71683276891,109.277647890188,8.749433692185923,29.714870096326862,470.2180840682348,3311.6394120712744,3.4260181993432552,32.272204409923894
栃木県,103834.78537058248,331.89422837178364,8.087245285502354,28.8940411122595,301.6727293155995,3265.5064941123883,3.6720801504812632,32.16398274645391
群馬県,94642.85161749464,281.4177638194841,8.255379238331233,29.64065989036208,304.7822478734039,3221.005826836184,3.483349491315571,30.37800583407645
埼玉県,124284.12617694373,176.61558947086803,7.487804038074032,26.806072079909978,1933.9780132973472,3594.5824306471472,3.117708980410496,30.54151611962258
千葉県,132153.95704974796,105.32295432557667,7.410779212040783,27.522977239166963,1218.4868572846726,3679.757499532487,3.427571321108477,30.979396163843266
東京都,149167.82190601467,198.6817101917951,5.967876272071919,22.72285204142432,6402.644448799697,4920.155525707363,3.08184099416376,27.94377577644979
神奈川県,130491.0495308334,295.5180697640456,6.13444500840198,25.8224962454006,3823.227005392966,4049.4558191789015,3.104331008061035,28.92885541318727
新潟県,71339.84350866226,63.50873494961096,7.361770949155969,32.9253268110438,174.92375347460066,2960.3745130484394,3.425505647202776,27.2887009199242
富山県,84218.99974294897,332.91006886261687,8.010504728858585,32.37548003795852,243.62264897201013,3127.323227209044,3.5472470597323342,28.177999066438463
石川県,84310.20568181216,228.86891779967965,8.333791305849749,29.79410627217388,270.5450671151361,3216.979427136708,3.144043877092822,28.184294192082948
